Clade	Lowest_taxonomic_level	Kingdom	Phylum	Class	Order	Family	Genus	Species
184	s__Lachnospiraceae_bacterium_oral_taxon_082	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium oral taxon 082
185	s__Erysipelotrichaceae_bacterium_2_2_44A	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Erysipelotrichaceae bacterium 2 2 44A
186	g__Erysipelotrichaceae_noname	Genus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	NA
187	p__Firmicutes	Phylum	Bacteria	Firmicutes	NA	NA	NA	NA	NA
188	s__Klebsiella_sp_MS_92_3	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella sp MS 92 3
189	s__Serratia_sp_ATCC_39006	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia sp ATCC 39006
190	s__Bacteroides_sp_2_2_4	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 2 2 4
191	s__Blautia_hansenii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii
192	s__Bacteroides_sp_3_1_23	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 3 1 23
193	s__Citrobacter_sp_A1	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter sp A1
194	s__Bacteroides_vulgatus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
195	s__Alistipes_finegoldii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
196	s__Roseburia_hominis	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis
197	s__Bacteroides_dorei	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei
198	s__Ruminococcus_torques	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus torques
199	s__Acidaminococcus_fermentans	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
200	s__Enterococcus_faecalis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
201	s__Clostridium_symbiosum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium symbiosum
202	s__Clostridium_hathewayi	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium hathewayi
203	s__Clostridium_clostridioforme	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium clostridioforme
204	s__Bacteroides_uniformis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
205	s__Eubacterium_sp_14_2	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp 14 2
206	s__Prevotella_histicola	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
207	s__Lactococcus_lactis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
208	s__Subdoligranulum_variabile	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile
209	s__Oribacterium_sp_oral_taxon_078	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp oral taxon 078
210	s__Prevotella_amnii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella amnii
211	g__Megasphaera	Genus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
212	g__Desulfovibrio	Genus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
213	s__Streptococcus_suis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
214	s__Coprococcus_eutactus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
215	s__Clostridiales_bacterium_1_7_47FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Clostridiales bacterium 1 7 47FAA
216	s__Parabacteroides_goldsteinii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides goldsteinii
217	c__Clostridia	Class	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
218	s__Parabacteroides_johnsonii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides johnsonii
219	g__Faecalibacterium	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
220	f__Ruminococcaceae	Family	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
221	s__Eggerthella_lenta	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta
222	s__Tannerella_sp_6_1_58FAA_CT1	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	Tannerella sp 6 1 58FAA CT1
223	s__Clostridium_perfringens	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
224	s__Streptococcus_pseudopneumoniae	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae
225	s__Clostridium_sp_L2_50	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp L2 50
226	s__Serratia_symbiotica	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia symbiotica
227	s__Ruminococcaceae_bacterium_D16	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_noname	Ruminococcaceae bacterium D16
228	s__Clostridium_butyricum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum
229	s__Coprobacillus_sp_D7	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp D7
230	s__Clostridium_sp_HGF2	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp HGF2
231	s__Campylobacter_jejuni	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni
232	s__Butyrivibrio_proteoclasticus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus
233	s__Escherichia_sp_TW11588	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia sp TW11588
234	s__Clostridium_sp_ASF502	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp ASF502
235	g__Fusobacterium	Genus	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
236	s__Bacteroides_sp_D22	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp D22
237	s__Flavobacteria_bacterium_MS024_2A	Species	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriia_noname	Flavobacteriia_noname	Flavobacteriia_noname	Flavobacteria bacterium MS024 2A
238	s__Pseudomonas_putida	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
239	o__Selenomonadales	Order	Bacteria	Firmicutes	Negativicutes	Selenomonadales	NA	NA	NA
240	s__Actinomyces_graevenitzii	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
241	s__Parabacteroides_merdae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae
242	s__Bacteroides_caccae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
243	s__Clostridium_saccharolyticum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saccharolyticum
244	s__Pseudomonas_aeruginosa	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
245	s__Bacteroides_salanitronis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salanitronis
246	s__Streptococcus_sp_I_G2	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp I G2
247	s__Megasphaera_micronuciformis	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera micronuciformis
248	s__Odoribacter_splanchnicus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus
249	s__Anaeroglobus_geminatus	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus geminatus
250	s__Bacteroides_sp_1_1_6	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 1 1 6
251	s__Prevotella_sp_C561	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp C561
252	g__Pseudomonas	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
253	f__Streptococcaceae	Family	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA
254	g__Lactococcus	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA
255	g__Scardovia	Genus	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	NA
256	g__Haemophilus	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	NA
257	s__Parascardovia_denticolens	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia denticolens
258	c__Gammaproteobacteria	Class	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
259	g__Acidaminococcus	Genus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	NA
260	s__Klebsiella_sp_4_1_44FAA	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella sp 4 1 44FAA
261	s__Lactobacillus_acidipiscis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidipiscis
262	g__Vibrio	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA
263	s__Clostridium_bartlettii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	Clostridium bartlettii
264	s__Vibrio_ordalii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio ordalii
265	g__Peptostreptococcaceae_noname	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	NA
266	s__Citrobacter_rodentium	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter rodentium
267	s__Gordonibacter_pamelaeae	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae
268	s__Ruminococcus_callidus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus callidus
269	c__Actinobacteria	Class	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
270	s__Acidaminococcus_sp_D21	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp D21
271	g__Coprococcus	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	NA
272	s__Peptoniphilus_sp_JC140	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus sp JC140
273	f__Eubacteriaceae	Family	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	NA	NA
274	f__Porphyromonadaceae	Family	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	NA
275	s__Bifidobacterium_sp_12_1_47BFAA	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp 12 1 47BFAA
276	s__Propionimicrobium_lymphophilum	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionimicrobium	Propionimicrobium lymphophilum
277	s__Bacillus_cereus_thuringiensis	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus thuringiensis
278	s__Lachnospiraceae_bacterium_5_1_63FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 5 1 63FAA
279	g__Actinomyces	Genus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
280	s__Clostridium_ramosum	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Clostridium ramosum
281	g__Campylobacter	Genus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
282	s__Lactobacillus_equicursoris	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus equicursoris
283	g__Klebsiella	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	NA
284	s__Aggregatibacter_aphrophilus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
285	s__Lactobacillus_iners	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
286	s__Bacteroides_pectinophilus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_noname	Clostridiales_noname	Bacteroides pectinophilus
287	s__Veillonella_sp_6_1_27	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp 6 1 27
288	s__Haemophilus_influenzae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
289	s__Blautia_producta	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta
290	s__Veillonella_sp_3_1_44	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp 3 1 44
291	s__Eubacterium_hallii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium hallii
292	s__Aggregatibacter_segnis	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter segnis
293	s__Lactobacillus_oris	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus oris
294	s__Streptococcus_mutans	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
295	s__Butyrivibrio_crossotus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus
296	s__Lactobacillus_salivarius	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
297	s__Haemophilus_parahaemolyticus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus
298	s__Lactobacillus_sp_66c	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp 66c
299	s__Enterocytozoon_bieneusi	Species	Eukaryota	Microsporidia	Microsporidia_noname	Microsporidia_noname	Enterocytozoonidae	Enterocytozoon	Enterocytozoon bieneusi
300	s__Cetobacterium_somerae	Species	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium somerae
301	p__Proteobacteria	Phylum	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
302	s__Bacteroides_sp_3_1_33FAA	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 3 1 33FAA
303	s__Alistipes_senegalensis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis
304	s__Streptococcus_sp_M334	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp M334
305	s__Brachyspira_pilosicoli	Species	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli
306	f__Clostridiaceae	Family	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
307	s__Bacteroides_sp_3_1_19	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 3 1 19
308	g__Bilophila	Genus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	NA
309	o__Bacteroidales	Order	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
310	s__Bacteroides_sp_4_1_36	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 4 1 36
311	s__Bacteroides_coprocola	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola
312	g__Atopobium	Genus	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	NA
313	s__Bacteroides_sp_1_1_30	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 1 1 30
314	s__Helicobacter_hepaticus	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter hepaticus
315	s__Alistipes_indistinctus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus
316	o__Desulfovibrionales	Order	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	NA	NA	NA
317	s__Bacteroidales_bacterium_ph8	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_noname	Bacteroidales_noname	Bacteroidales bacterium ph8
318	s__Clostridium_sp_M62_1	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp M62 1
319	s__Coprococcus_sp_ART55_1	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus sp ART55 1
320	s__Alistipes_shahii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
321	s__Enterococcus_raffinosus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus raffinosus
322	s__Brachyspira_hampsonii	Species	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	Brachyspira hampsonii
323	s__Olsenella_sp_oral_taxon_809	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	Olsenella sp oral taxon 809
324	s__Fusobacterium_ulcerans	Species	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans
325	s__Anaerotruncus_sp_G3_2012	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp G3 2012
326	s__Streptococcus_pyogenes	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
327	g__Bacteroidales_noname	Genus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_noname	Bacteroidales_noname	NA
328	s__Streptococcus_lutetiensis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis
329	s__Gardnerella_vaginalis	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
330	s__Veillonella_ratti	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella ratti
331	s__Enterobacter_sp_MGH_38	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 38
332	s__Bacteroides_intestinalis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis
333	s__Citrobacter_freundii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
334	s__Porphyromonas_gingivalis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
335	f__Bacteroidaceae	Family	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA
336	s__Bacteroides_clarus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus
337	s__Butyricimonas_synergistica	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	Butyricimonas synergistica
338	s__Streptococcus_infantarius	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius
339	s__Enterobacter_sp_MR1	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MR1
340	g__Anaerotruncus	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	NA
341	g__Rothia	Genus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	NA
342	g__Pediococcus	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	NA
343	g__Bacillus	Genus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
344	s__Lactobacillus_gastricus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gastricus
345	s__Klebsiella_oxytoca	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
346	g__Propionimicrobium	Genus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionimicrobium	NA
347	s__Bifidobacterium_animalis	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
348	s__Bacteroides_sp_1_1_14	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 1 1 14
349	s__Coriobacteriaceae_bacterium_BV3Ac1	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_noname	Coriobacteriaceae bacterium BV3Ac1
350	s__Streptococcus_sobrinus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sobrinus
351	s__Bacteroides_finegoldii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii
352	s__Ruminococcus_albus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus albus
353	s__Ruminococcus_bromii	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii
354	s__Collinsella_sp_GD3	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp GD3
355	s__Catonella_morbi	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	Catonella morbi
356	f__Lactobacillaceae	Family	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	NA
357	s__Facklamia_languida	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia languida
358	s__Bacteroides_xylanisolvens	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
359	s__Streptococcus_australis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis
360	s__Streptococcus_sp_GMD4S	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp GMD4S
361	f__Veillonellaceae	Family	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	NA
362	s__Bacteroides_sp_3_2_5	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 3 2 5
363	s__Shigella_flexneri	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	Shigella flexneri
364	s__Parabacteroides_sp_20_3	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides sp 20 3
